Tweet;Provider;Label1;Label2;Label3;Label
RT @Dennysiregar7: Apa saya sendiri yang merasa kalau @Telkomsel semakin hari semakin lelet internetnya ?;Telkomsel;-1;-1;-1;-1
Hallooo bagaimana cara pembayaran kartuHalo ya? Kenapa sulit sekali @Telkomsel;Telkomsel;-1;-1;-1;-1
masalahnya, biasanya habisnya di malam hari (pkl 24:00), ketika membuka hp di pagi hari, otomatis puksa terpotong sebelum menonaktifkan paket data. atau ini sengaja biar dapat untung, sementara pelanggan tidak sadar?!!;Telkomsel;-1;-1;-1;-1
@Telkomsel Lah, kan Erna juga yg balas.. haha,, mohon segera direspon ya keluhan kami atad leletnya sinyal internet Telkomsel;Telkomsel;-1;-1;-1;-1
@Ardimnsyr Tumben ki sede baik ini telkomsel \ud83d\ude02;Telkomsel;1;1;1;1
Semenjak langganan paket internet promo 12.12 30GB kok jadi lemot gini ya? @Telkomsel  @telkomselflas;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Telling grup kabeh ndan... Indihome paraaaaah;Telkomsel;-1;-1;-1;-1
@Telkomsel Mantabbb;Telkomsel;1;1;1;1
@ABMaulana7 @Okkybaehaqi @PenyaIndoBarca Kayak nya sih nggak, emang pake TELKOMSEL lebih enak;Telkomsel;1;1;1;1
Beberapa hari ini sinyal Telkomsel ga pernah stabil.;Telkomsel;-1;-1;-1;-1
Iyaaa lelet;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel makin lelet tapi taripnya makin meroket;Telkomsel;-1;-1;-1;-1
@Telkomsel @TelkomIndonesia tolong perbaiki layanan jaringan wilayah palu karena dari kemarin sore sinyal down, ini\u2026 https://t.co/eohZBzf3b2;Telkomsel;-1;-1;0;-1
Betul, saya juga sudah melaporkan juga, di tempat saya sinyal internet @Telkomsel bener2 parah leletnya belakangan ini.. sudah lapor dan email, tp ga ada respon lanjutan.. kacaau @Telkomsel nih..;Telkomsel;-1;-1;-1;-1
@Dennysiregar7 Samaa... Saya bahkan uda email ke @Telkomsel ,tp ga ada tanggapan yg memuaskan...;Telkomsel;-1;-1;-1;-1
RT @milhanElyamani: @Telkomsel mas tolong dong jaringannya diperbaiki. Masa 4g lambat banget. Download 70mb aja 1 jam coba gimana?;Telkomsel;-1;-1;-1;-1
@Telkomsel @Dennysiregar7 Betul. Emang makin lelet.;Telkomsel;-1;-1;-1;-1
@Telkomsel Disini aja, keluhannya paket internet telkomsel mahal. Terimakasih :);Telkomsel;-1;-1;-1;-1
@Dennysiregar7 @Telkomsel Bukan lelet lagi jadi Mr Lemot;Telkomsel;-1;-1;-1;-1
pengen pulang ke kosan supaya ga ada risiko diajak jalan tapi kalo lg ujan telkomsel suka ngadat jd lebih aman streaming pake wifi rumah tante gimana dong ini;Telkomsel;-1;-1;-1;-1
@Telkomsel min jaringan di desa gumalar kecamatan adiwerna kab tegal kenapa buruk sekali.\nApa ada masalah???;Telkomsel;-1;-1;-1;-1
Telkomsel hari ini sinyal nya terburuk loh. Terjun bebas sinyal dari 4G ke E hadeh. Padahal subuh, bukan jam sibuk, ujan juga udah kelar.;Telkomsel;-1;-1;-1;-1
@Telkomsel DM ROBOT!!! GAK GUNA!!!;Telkomsel;-1;-1;-1;-1
@Telkomsel percuma udah belain beli paket maxstream tp channel TSB nya ga bisa di buka \ud83d\ude21;Telkomsel;-1;-1;-1;-1
@Telkomsel Percuma, paling hanya dibalas tidak ada gangguan. Padahal konsumen yang merasakan gangguan ini nyata.;Telkomsel;-1;-1;-1;-1
@Telkomsel ini nomor saya yang bermasalah atau emang lagi gangguan sinyal mulu ya?;Telkomsel;-1;0;-1;-1
Bukan begitu Bung. Beberapa hari lalu masalahnya akses internet saya baik baik saja di posisi yg sama saya gunakan saat ini, lantas kenapa sekarang berubah jadi sangat amat lambat sekali? Jelas?;Telkomsel;-1;-1;-1;-1
@Telkomsel om ini kok sinyal lemot bgt dahh. Gagal chicken berkali kali aing tolongg :(;Telkomsel;-1;-1;-1;-1
